dimension,granularity,indicator_name,status,result
cost,cases,total_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,total_cost_and_lead_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,total_cost_and_outcome_unit_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,total_cost_and_service_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,cases,variable_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,cases,warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,groups,automated_activity_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,desired_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,direct_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_automated_activity_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_desired_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_direct_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_fixed_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_inventory_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_labor_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_labor_cost_and_total_cost_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,groups,expected_missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,groups,expected_overhead_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_rework_cost,Case ID Application_652823628 not found in event log.,
cost,groups,expected_rework_count,Case ID Application_652823628 not found in event log.,
cost,groups,expected_rework_percentage,Case ID Application_652823628 not found in event log.,
cost,groups,expected_total_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_total_cost_and_lead_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_total_cost_and_outcome_unit_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_total_cost_and_service_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,groups,expected_variable_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,expected_warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,groups,fixed_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,human_resource_and_case_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,inventory_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,labor_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,labor_cost_and_total_cost_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,maintenance_cost,Column 'cost:maintenance' is not present in event log.,
cost,groups,missed_deadline_cost,Column 'cost:missed_deadline' is not present in event log.,
cost,groups,overhead_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,rework_cost,Case ID Application_652823628 not found in event log.,
cost,groups,rework_count,Case ID Application_652823628 not found in event log.,
cost,groups,rework_percentage,Case ID Application_652823628 not found in event log.,
cost,groups,total_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,total_cost_and_lead_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,total_cost_and_outcome_unit_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,total_cost_and_service_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,transportation_cost,Column 'cost:transportation' is not present in event log.,
cost,groups,variable_cost,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
cost,groups,warehousing_cost,Column 'cost:warehousing' is not present in event log.,
cost,instances,fixed_cost_for_single_events_of_activity_instances,Column 'cost:fixed' is not present in event log.,
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:fixed' is not present in event log.,
cost,instances,inventory_cost_for_single_events_of_activity_instances,Column 'cost:inventory' is not present in event log.,
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:inventory' is not present in event log.,
cost,instances,labor_cost_and_total_cost_ratio,Column 'cost:labor' is not present in event log.,
cost,instances,labor_cost_for_single_events_of_activity_instances,Column 'cost:labor' is not present in event log.,
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:labor' is not present in event log.,
cost,instances,total_cost_and_lead_time_ratio,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_and_outcome_unit_ratio,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_and_service_time_ratio,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_for_single_events_of_activity_instances,Column 'cost:total' is not present in event log.,
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:total' is not present in event log.,
cost,instances,variable_cost_for_single_events_of_activity_instances,Column 'cost:variable' is not present in event log.,
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,Column 'cost:variable' is not present in event log.,
flexibility,activities,activity_instance_and_human_resource_count_ratio,Column 'human_resource' is not present in event log.,
flexibility,activities,client_count,Column 'client' is not present in event log.,
flexibility,activities,directly_follows_relations_count,success,3
flexibility,activities,human_resource_count,Column 'human_resource' is not present in event log.,
flexibility,cases,activity_and_role_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,activity_instance_and_human_resource_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,directly_follows_relations_and_activity_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,directly_follows_relations_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,optional_activity_count,success,0
flexibility,cases,optionality,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,role_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,cases,variant_case_coverage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,activity_and_role_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,activity_instance_and_human_resource_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,client_count,Column 'client' is not present in event log.,
flexibility,groups,directly_follows_relations_and_activity_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,directly_follows_relations_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_activity_and_role_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_client_count,Column 'client' is not present in event log.,
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_directly_follows_relations_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_optional_activity_count,"Error performing indicator division. Numerator value=0, denominator value=0",
flexibility,groups,expected_optionality,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,expected_role_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,optional_activity_count,success,0
flexibility,groups,optionality,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,role_and_variant_count_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,role_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,variant_case_coverage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
flexibility,groups,variant_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,activities,activity_instance_count,success,100
general,activities,human_resource_count,Column 'human_resource' is not present in event log.,
general,activities,resource_count,success,25
general,cases,activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,cases,activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,cases,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,cases,resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,cases,role_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,case_count,success,0
general,groups,expected_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,expected_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,expected_human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,expected_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,expected_role_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
general,groups,role_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,activities,activity_instance_count_by_human_resource,Column 'human_resource' is not present in event log.,
quality,activities,client_count_and_total_cost_ratio,Column 'client' is not present in event log.,
quality,activities,human_resource_count,Column 'human_resource' is not present in event log.,
quality,activities,outcome_unit_count,<StandardColumnNames.OUTCOME_UNIT: 'outcome_unit'>,
quality,activities,rework_count,success,0
quality,activities,rework_count_by_value,success,0
quality,activities,rework_percentage,success,0.0
quality,activities,rework_percentage_by_value,success,0.0
quality,activities,rework_time,success,0 days 00:00:00
quality,activities,successful_outcome_unit_count,<StandardColumnNames.OUTCOME_UNIT: 'outcome_unit'>,
quality,activities,successful_outcome_unit_percentage,<StandardColumnNames.OUTCOME_UNIT: 'outcome_unit'>,
quality,activities,total_cost_and_client_count_ratio,Column 'cost:total' is not present in event log.,
quality,cases,activity_instance_count_by_human_resource,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,activity_instance_count_by_role,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,desired_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,non_automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,non_automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,outcome_unit_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,overall_quality,<StandardColumnNames.QUALITY: 'quality'>,
quality,cases,repeatability,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,rework_count,Case ID Application_652823628 not found in event log.,
quality,cases,rework_count_by_value,Case ID Application_652823628 not found in event log.,
quality,cases,rework_of_activities_subset,Case ID Application_652823628 not found in event log.,
quality,cases,rework_percentage,Case ID Application_652823628 not found in event log.,
quality,cases,rework_percentage_by_value,Case ID Application_652823628 not found in event log.,
quality,cases,rework_time,Case ID Application_652823628 not found in event log.,
quality,cases,successful_outcome_unit_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,successful_outcome_unit_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,unwanted_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,unwanted_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,unwanted_activity_instance_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,cases,unwanted_activity_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,activity_instance_count_by_human_resource,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,activity_instance_count_by_role,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,case_and_client_count_ratio,Column 'client' is not present in event log.,
quality,groups,case_count_where_activity_after_time_frame,Case ID Application_652823628 not found in event log.,
quality,groups,case_count_where_activity_before_time_frame,Case ID Application_652823628 not found in event log.,
quality,groups,case_count_where_activity_during_time_frame,Case ID Application_652823628 not found in event log.,
quality,groups,case_count_where_end_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_count_where_start_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_count_with_rework,Case ID Application_652823628 not found in event log.,
quality,groups,case_percentage_where_activity_after_time_frame,Case ID Application_652823628 not found in event log.,
quality,groups,case_percentage_where_activity_before_time_frame,Case ID Application_652823628 not found in event log.,
quality,groups,case_percentage_where_activity_during_time_frame,Case ID Application_652823628 not found in event log.,
quality,groups,case_percentage_where_end_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_percentage_where_start_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_percentage_with_missed_deadline,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,case_percentage_with_rework,Case ID Application_652823628 not found in event log.,
quality,groups,client_count_and_total_cost_ratio,Column 'client' is not present in event log.,
quality,groups,desired_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_activity_instance_count_by_human_resource,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_activity_instance_count_by_role,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_client_count_and_total_cost_ratio,Column 'client' is not present in event log.,
quality,groups,expected_desired_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_non_automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_non_automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_outcome_unit_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_overall_quality,<StandardColumnNames.QUALITY: 'quality'>,
quality,groups,expected_repeatability,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_rework_count,Case ID Application_652823628 not found in event log.,
quality,groups,expected_rework_count_by_value,Case ID Application_652823628 not found in event log.,
quality,groups,expected_rework_of_activities_subset,Case ID Application_652823628 not found in event log.,
quality,groups,expected_rework_percentage,Case ID Application_652823628 not found in event log.,
quality,groups,expected_rework_percentage_by_value,Case ID Application_652823628 not found in event log.,
quality,groups,expected_rework_time,Case ID Application_652823628 not found in event log.,
quality,groups,expected_successful_outcome_unit_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_successful_outcome_unit_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_total_cost_and_client_count_ratio,Column 'client' is not present in event log.,
quality,groups,expected_unwanted_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_unwanted_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_unwanted_activity_instance_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,expected_unwanted_activity_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,human_resource_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,non_automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,non_automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,outcome_unit_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,repeatability,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,rework_count,Case ID Application_652823628 not found in event log.,
quality,groups,rework_count_by_value,Case ID Application_652823628 not found in event log.,
quality,groups,rework_of_activities_subset,Case ID Application_652823628 not found in event log.,
quality,groups,rework_percentage,Case ID Application_652823628 not found in event log.,
quality,groups,rework_percentage_by_value,Case ID Application_652823628 not found in event log.,
quality,groups,rework_time,Case ID Application_652823628 not found in event log.,
quality,groups,successful_outcome_unit_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,successful_outcome_unit_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,total_cost_and_client_count_ratio,Column 'client' is not present in event log.,
quality,groups,unwanted_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,unwanted_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,unwanted_activity_instance_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,groups,unwanted_activity_percentage,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
quality,instances,outcome_unit_count_for_single_events_of_activity_instances,Instance id  not found in event log.,
quality,instances,outcome_unit_count_for_sum_of_all_events_of_activity_instances,Instance id  not found in event log.,
quality,instances,successful_outcome_unit_count,Instance id  not found in event log.,
quality,instances,successful_outcome_unit_percentage,Instance id  not found in event log.,
time,activities,lead_time,success,0 days 00:00:00
time,activities,service_and_lead_time_ratio,"Error performing indicator division. Numerator value=0 days 00:00:00, denominator value=0 days 00:00:00",
time,activities,service_time,success,0 days 00:00:00
time,activities,waiting_time,success,0 days 00:00:00
time,cases,active_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,automated_activity_service_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,handover_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,idle_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,lead_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,lead_time_deviation_from_deadline,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,lead_time_deviation_from_expectation,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,lead_time_from_activity_a,Case ID Application_652823628 not found in event log.,
time,cases,lead_time_from_activity_a_to_b,Case ID Application_652823628 not found in event log.,
time,cases,lead_time_to_activity_a,Case ID Application_652823628 not found in event log.,
time,cases,service_and_lead_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,service_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,service_time_from_activity_a_to_b,Case ID Application_652823628 not found in event log.,
time,cases,waiting_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,cases,waiting_time_from_activity_a_to_b,Case ID Application_652823628 not found in event log.,
time,groups,activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,automated_activity_service_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,case_count_lead_time_ratio,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,case_count_where_lead_time_over_value,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,case_percentage_where_lead_time_over_value,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,case_percentage_with_missed_deadline,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_active_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_automated_activity_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_automated_activity_instance_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_automated_activity_service_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_handover_count,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
time,groups,expected_idle_time,CASE_ID = 'Application_652823628' not found in event log. Check your event log CASE_ID column for possible values.,
