case:concept:name,concept:name,time:timestamp,human_resource,org:resource,outcome_unit,unsuccessful_outcome_unit,lifecycle:transition,concept:instance
Case 10,Turning & Milling - Machine 9,2012-01-17 07:01:00+00:00,ID3846,Machine 9 - Turning & Milling,1,0,start,i_17
Case 10,Turning Q.C.,2012-01-17 11:00:00+00:00,ID4618,Quality Check 1,0,0,start,i_18
Case 10,Turning & Milling - Machine 9,2012-01-17 11:05:00+00:00,ID3846,Machine 9 - Turning & Milling,1,0,complete,i_17
Case 10,Turning Q.C.,2012-01-17 11:15:00+00:00,ID4618,Quality Check 1,0,0,complete,i_18
Case 10,Turning & Milling - Machine 9,2012-01-17 19:24:00+00:00,ID4132,Machine 9 - Turning & Milling,0,0,start,i_19
Case 10,Turning & Milling - Machine 9,2012-01-17 20:01:00+00:00,ID4132,Machine 9 - Turning & Milling,17,0,start,i_20
Case 10,Turning & Milling - Machine 9,2012-01-17 20:01:00+00:00,ID4132,Machine 9 - Turning & Milling,0,0,complete,i_19
Case 10,Turning & Milling - Machine 9,2012-01-17 23:43:00+00:00,ID4132,Machine 9 - Turning & Milling,17,0,complete,i_20
Case 10,Turning & Milling - Machine 9,2012-01-17 23:49:00+00:00,ID4794,Machine 9 - Turning & Milling,37,0,start,i_21
Case 10,Turning & Milling - Machine 9,2012-01-18 06:32:00+00:00,ID4794,Machine 9 - Turning & Milling,37,0,complete,i_21
Case 10,Turning & Milling - Machine 9,2012-01-18 06:59:00+00:00,ID3846,Machine 9 - Turning & Milling,4,0,start,i_22
Case 10,Turning & Milling - Machine 9,2012-01-18 07:24:00+00:00,ID3846,Machine 9 - Turning & Milling,4,0,complete,i_22
Case 10,Turning & Milling - Machine 9,2012-01-18 16:33:00+00:00,ID4132,Machine 9 - Turning & Milling,1,0,start,i_23
Case 10,Turning & Milling - Machine 9,2012-01-18 17:55:00+00:00,ID4132,Machine 9 - Turning & Milling,1,0,complete,i_23
Case 10,Turning & Milling - Machine 9,2012-01-18 17:57:00+00:00,ID4132,Machine 9 - Turning & Milling,3,0,start,i_24
Case 10,Turning & Milling - Machine 9,2012-01-18 20:04:00+00:00,ID4132,Machine 9 - Turning & Milling,3,0,complete,i_24
Case 10,Turning & Milling - Machine 9,2012-01-18 20:10:00+00:00,ID4794,Machine 9 - Turning & Milling,40,0,start,i_25
Case 10,Turning & Milling - Machine 9,2012-01-19 06:29:00+00:00,ID4794,Machine 9 - Turning & Milling,40,0,complete,i_25
Case 10,Turning & Milling - Machine 9,2012-01-19 16:12:00+00:00,ID4132,Machine 9 - Turning & Milling,1,0,start,i_26
Case 10,Turning & Milling - Machine 9,2012-01-19 18:09:00+00:00,ID4132,Machine 9 - Turning & Milling,1,0,complete,i_26
Case 10,Turning & Milling - Machine 9,2012-01-19 18:10:00+00:00,ID4132,Machine 9 - Turning & Milling,8,0,start,i_27
Case 10,Turning & Milling - Machine 9,2012-01-19 20:08:00+00:00,ID4132,Machine 9 - Turning & Milling,8,0,complete,i_27
Case 10,Turning & Milling - Machine 9,2012-01-19 20:09:00+00:00,ID4794,Machine 9 - Turning & Milling,40,0,start,i_28
Case 10,Turning & Milling - Machine 9,2012-01-20 05:10:00+00:00,ID4794,Machine 9 - Turning & Milling,40,0,complete,i_28
Case 10,Turning & Milling - Machine 9,2012-01-22 02:42:00+00:00,ID4641,Machine 9 - Turning & Milling,17,0,start,i_29
Case 10,Turning & Milling - Machine 9,2012-01-22 06:34:00+00:00,ID4641,Machine 9 - Turning & Milling,17,0,complete,i_29
Case 10,Turning & Milling - Machine 9,2012-01-22 07:00:00+00:00,ID3846,Machine 9 - Turning & Milling,3,0,start,i_30
Case 10,Turning & Milling - Machine 9,2012-01-22 07:13:00+00:00,ID3846,Machine 9 - Turning & Milling,3,0,complete,i_30
Case 10,Turning & Milling - Machine 9,2012-01-22 09:02:00+00:00,ID3846,Machine 9 - Turning & Milling,79,0,start,i_31
Case 10,Turning & Milling - Machine 9,2012-01-22 17:47:00+00:00,ID3846,Machine 9 - Turning & Milling,79,0,complete,i_31
Case 10,Turning Q.C.,2012-01-23 07:54:00+00:00,ID4618,Quality Check 1,251,0,start,i_32
Case 10,Turning Q.C.,2012-01-23 10:26:00+00:00,ID4618,Quality Check 1,251,0,complete,i_32
Case 10,Laser Marking - Machine 7,2012-01-25 09:31:00+00:00,ID4794,Machine 7- Laser Marking,40,0,start,i_33
Case 10,Laser Marking - Machine 7,2012-01-25 10:57:00+00:00,ID4794,Machine 7- Laser Marking,40,0,complete,i_33
Case 10,Laser Marking - Machine 7,2012-01-25 11:00:00+00:00,ID4882,Machine 7- Laser Marking,160,0,start,i_34
Case 10,Laser Marking - Machine 7,2012-01-25 12:54:00+00:00,ID4882,Machine 7- Laser Marking,160,0,complete,i_34
Case 10,Laser Marking - Machine 7,2012-01-25 13:22:00+00:00,ID4882,Machine 7- Laser Marking,51,0,start,i_35
Case 10,Laser Marking - Machine 7,2012-01-25 14:09:00+00:00,ID4882,Machine 7- Laser Marking,51,0,complete,i_35
Case 10,Flat Grinding - Machine 11,2012-01-27 10:30:00+00:00,ID0998,Machine 11 - Grinding,100,0,start,i_36
Case 10,Flat Grinding - Machine 11,2012-01-27 13:00:00+00:00,ID0998,Machine 11 - Grinding,100,0,complete,i_36
Case 10,Flat Grinding - Machine 11,2012-01-29 08:09:00+00:00,ID0998,Machine 11 - Grinding,100,0,start,i_37
Case 10,Flat Grinding - Machine 11,2012-01-29 15:06:00+00:00,ID0998,Machine 11 - Grinding,100,0,complete,i_37
Case 10,Flat Grinding - Machine 11,2012-01-30 15:19:00+00:00,ID0998,Machine 11 - Grinding,51,0,start,i_38
Case 10,Flat Grinding - Machine 11,2012-01-30 16:59:00+00:00,ID0998,Machine 11 - Grinding,51,0,complete,i_38
Case 10,Final Inspection Q.C.,2012-02-02 12:38:00+00:00,ID4618,Quality Check 1,250,1,start,i_39
Case 10,Final Inspection Q.C.,2012-02-02 14:16:00+00:00,ID4618,Quality Check 1,250,1,complete,i_39
Case 10,Packing,2012-02-03 00:00:00+00:00,ID4820,Packing,250,0,start,i_40
Case 10,Packing,2012-02-03 01:00:00+00:00,ID4820,Packing,250,0,complete,i_40
Case 100,Turning & Milling - Machine 8,2012-02-20 17:09:00+00:00,ID4219,Machine 8 - Turning & Milling,7,0,start,i_41
Case 100,Turning & Milling - Machine 8,2012-02-20 17:57:00+00:00,ID4219,Machine 8 - Turning & Milling,7,0,complete,i_41
Case 100,Turning & Milling - Machine 8,2012-02-20 22:57:00+00:00,ID4529,Machine 8 - Turning & Milling,11,0,start,i_42
Case 100,Turning & Milling - Machine 8,2012-02-21 02:57:00+00:00,ID4529,Machine 8 - Turning & Milling,11,0,complete,i_42
Case 100,Turning & Milling - Machine 8,2012-02-21 06:45:00+00:00,ID4219,Machine 8 - Turning & Milling,1,0,start,i_43
Case 100,Turning & Milling - Machine 8,2012-02-21 11:03:00+00:00,ID4219,Machine 8 - Turning & Milling,1,0,complete,i_43
Case 100,Turning & Milling - Machine 8,2012-02-21 11:04:00+00:00,ID4219,Machine 8 - Turning & Milling,17,0,start,i_44
Case 100,Turning & Milling - Machine 8,2012-02-21 12:08:00+00:00,ID4219,Machine 8 - Turning & Milling,17,0,complete,i_44
Case 100,Turning & Milling Q.C.,2012-02-22 14:48:00+00:00,ID4618,Quality Check 1,18,0,start,i_45
Case 100,Turning & Milling Q.C.,2012-02-22 15:10:00+00:00,ID4618,Quality Check 1,18,0,complete,i_45
Case 100,Laser Marking - Machine 7,2012-03-11 11:05:00+00:00,ID0998,Machine 7- Laser Marking,18,0,start,i_46
Case 100,Laser Marking - Machine 7,2012-03-11 11:06:00+00:00,ID0998,Machine 7- Laser Marking,18,0,complete,i_46
Case 100,Flat Grinding - Machine 11,2012-03-11 12:23:00+00:00,ID0998,Machine 11 - Grinding,18,0,start,i_47
Case 100,Flat Grinding - Machine 11,2012-03-11 12:45:00+00:00,ID0998,Machine 11 - Grinding,18,0,complete,i_47
Case 100,Lapping - Machine 1,2012-03-11 12:46:00+00:00,ID4882,Machine 1 - Lapping,18,0,start,i_48
Case 100,Lapping - Machine 1,2012-03-11 13:18:00+00:00,ID4882,Machine 1 - Lapping,18,0,complete,i_48
Case 100,Round Grinding - Machine 3,2012-03-13 10:34:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,start,i_49
Case 100,Round Grinding - Machine 3,2012-03-13 10:41:00+00:00,ID4445,Machine 3 - Round Grinding,18,0,start,i_50
Case 100,Round Grinding - Machine 3,2012-03-13 10:41:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,complete,i_49
Case 100,Round Grinding - Machine 3,2012-03-13 15:12:00+00:00,ID4445,Machine 3 - Round Grinding,18,0,complete,i_50
Case 100,Grinding Rework - Machine 12,2012-03-16 11:30:00+00:00,ID4872,Machine 12 - Grinding,0,0,start,i_51
Case 100,Grinding Rework - Machine 12,2012-03-16 12:40:00+00:00,ID4872,Machine 12 - Grinding,0,0,complete,i_51
Case 100,Final Inspection Q.C.,2012-03-19 11:21:00+00:00,ID4618,Quality Check 1,0,0,start,i_52
Case 100,Final Inspection Q.C.,2012-03-19 14:06:00+00:00,ID4618,Quality Check 1,0,0,complete,i_52
Case 100,Packing,2012-03-21 00:00:00+00:00,ID4820,Packing,18,0,start,i_53
Case 100,Packing,2012-03-21 01:00:00+00:00,ID4820,Packing,18,0,complete,i_53
Case 100,Final Inspection Q.C.,2012-03-21 07:02:00+00:00,ID4618,Quality Check 1,18,0,start,i_54
Case 100,Final Inspection Q.C.,2012-03-21 07:03:00+00:00,ID4618,Quality Check 1,18,0,complete,i_54
Case 101,Setup - Machine 8,2012-03-13 18:47:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_55
Case 101,Setup - Machine 8,2012-03-13 20:03:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_55
Case 101,Turning & Milling - Machine 8,2012-03-13 20:38:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_56
Case 101,Turning & Milling - Machine 8,2012-03-13 23:03:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_56
Case 101,Turning & Milling - Machine 8,2012-03-13 23:04:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_57
Case 101,Turning & Milling - Machine 8,2012-03-13 23:49:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_57
Case 101,Turning & Milling - Machine 8,2012-03-13 23:50:00+00:00,ID4219,Machine 8 - Turning & Milling,7,0,start,i_58
Case 101,Turning & Milling - Machine 8,2012-03-14 01:06:00+00:00,ID4794,Machine 8 - Turning & Milling,17,0,start,i_59
Case 101,Turning & Milling - Machine 8,2012-03-14 01:06:00+00:00,ID4219,Machine 8 - Turning & Milling,7,0,complete,i_58
Case 101,Turning & Milling - Machine 8,2012-03-14 06:28:00+00:00,ID4794,Machine 8 - Turning & Milling,17,0,complete,i_59
Case 101,Turning & Milling - Machine 8,2012-03-14 07:02:00+00:00,ID0997,Machine 8 - Turning & Milling,3,0,start,i_60
Case 101,Turning & Milling - Machine 8,2012-03-14 07:48:00+00:00,ID0997,Machine 8 - Turning & Milling,3,0,complete,i_60
Case 101,Turning & Milling - Machine 8,2012-03-14 07:49:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_61
Case 101,Turning & Milling - Machine 8,2012-03-14 11:10:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_61
Case 101,Turning & Milling - Machine 8,2012-03-14 11:11:00+00:00,ID0997,Machine 8 - Turning & Milling,27,0,start,i_62
Case 101,Turning & Milling - Machine 8,2012-03-14 13:30:00+00:00,ID0997,Machine 8 - Turning & Milling,27,0,complete,i_62
Case 101,Turning & Milling Q.C.,2012-03-14 13:33:00+00:00,ID4618,Quality Check 1,27,0,start,i_63
Case 101,Turning & Milling Q.C.,2012-03-14 14:48:00+00:00,ID4618,Quality Check 1,27,0,complete,i_63
Case 101,Flat Grinding - Machine 11,2012-03-15 09:55:00+00:00,ID0998,Machine 11 - Grinding,27,0,start,i_64
Case 101,Flat Grinding - Machine 11,2012-03-15 10:55:00+00:00,ID0998,Machine 11 - Grinding,27,0,complete,i_64
Case 101,Lapping - Machine 1,2012-03-23 11:00:00+00:00,ID0998,Machine 1 - Lapping,21,0,start,i_65
Case 101,Lapping - Machine 1,2012-03-23 12:40:00+00:00,ID0998,Machine 1 - Lapping,21,0,complete,i_65
Case 101,Round Grinding - Machine 12,2012-03-24 22:15:00+00:00,ID4528,Machine 12 - Grinding,0,0,start,i_66
Case 101,Round Grinding - Machine 12,2012-03-24 23:45:00+00:00,ID4528,Machine 12 - Grinding,17,0,start,i_67
Case 101,Round Grinding - Machine 12,2012-03-24 23:45:00+00:00,ID4528,Machine 12 - Grinding,0,0,complete,i_66
Case 101,Round Grinding - Machine 12,2012-03-25 06:45:00+00:00,ID4528,Machine 12 - Grinding,17,0,complete,i_67
Case 101,Final Inspection Q.C.,2012-03-25 06:50:00+00:00,ID4618,Quality Check 1,17,0,start,i_70
Case 101,Lapping - Machine 1,2012-03-25 10:00:00+00:00,ID0998,Machine 1 - Lapping,6,0,start,i_68
Case 101,Lapping - Machine 1,2012-03-25 11:00:00+00:00,ID0998,Machine 1 - Lapping,6,0,complete,i_68
Case 101,Laser Marking - Machine 7,2012-03-25 11:15:00+00:00,ID0998,Machine 7- Laser Marking,17,0,start,i_69
Case 101,Laser Marking - Machine 7,2012-03-25 11:29:00+00:00,ID0998,Machine 7- Laser Marking,17,0,complete,i_69
Case 101,Final Inspection Q.C.,2012-03-25 11:31:00+00:00,ID4618,Quality Check 1,17,0,complete,i_70
Case 101,Packing,2012-03-26 00:00:00+00:00,ID4820,Packing,17,0,start,i_71
Case 101,Packing,2012-03-26 01:00:00+00:00,ID4820,Packing,17,0,complete,i_71
Case 102,Turning & Milling - Machine 8,2012-02-27 16:40:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_72
Case 102,Turning & Milling - Machine 8,2012-02-27 21:09:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_72
Case 102,Turning & Milling - Machine 8,2012-02-27 21:46:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_73
Case 102,Turning & Milling - Machine 8,2012-02-28 01:23:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_73
Case 102,Turning & Milling - Machine 8,2012-02-28 11:00:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_74
Case 102,Turning & Milling - Machine 8,2012-02-28 13:26:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_74
Case 102,Turning & Milling - Machine 8,2012-02-28 14:20:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_76
Case 102,Turning & Milling Q.C.,2012-02-28 14:35:00+00:00,ID4287,Quality Check 1,0,0,start,i_75
Case 102,Turning & Milling Q.C.,2012-02-28 15:25:00+00:00,ID4287,Quality Check 1,0,0,complete,i_75
Case 102,Turning & Milling - Machine 8,2012-02-28 16:12:00+00:00,ID0997,Machine 8 - Turning & Milling,3,0,start,i_77
Case 102,Turning & Milling - Machine 8,2012-02-28 16:12:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_76
Case 102,Turning & Milling - Machine 8,2012-02-28 17:56:00+00:00,ID0997,Machine 8 - Turning & Milling,3,0,complete,i_77
Case 102,Turning & Milling - Machine 8,2012-02-28 21:28:00+00:00,ID4219,Machine 8 - Turning & Milling,9,0,start,i_78
Case 102,Turning & Milling - Machine 8,2012-02-29 01:29:00+00:00,ID4219,Machine 8 - Turning & Milling,9,0,complete,i_78
Case 102,Turning & Milling - Machine 8,2012-02-29 01:30:00+00:00,ID4794,Machine 8 - Turning & Milling,7,0,start,i_79
Case 102,Turning & Milling - Machine 8,2012-02-29 04:31:00+00:00,ID4794,Machine 8 - Turning & Milling,7,0,complete,i_79
Case 102,Turning & Milling - Machine 8,2012-02-29 07:32:00+00:00,ID0997,Machine 8 - Turning & Milling,5,0,start,i_80
Case 102,Turning & Milling - Machine 8,2012-02-29 11:05:00+00:00,ID0997,Machine 8 - Turning & Milling,1,0,start,i_81
Case 102,Turning & Milling - Machine 8,2012-02-29 11:05:00+00:00,ID0997,Machine 8 - Turning & Milling,5,0,complete,i_80
Case 102,Turning & Milling Q.C.,2012-02-29 15:00:00+00:00,ID4287,Quality Check 1,24,0,start,i_82
Case 102,Turning & Milling - Machine 8,2012-02-29 16:00:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_84
Case 102,Turning & Milling - Machine 8,2012-02-29 16:00:00+00:00,ID0997,Machine 8 - Turning & Milling,1,0,complete,i_81
Case 102,Turning & Milling Q.C.,2012-02-29 16:00:00+00:00,ID4287,Quality Check 1,24,0,complete,i_82
Case 102,Turning & Milling Q.C.,2012-02-29 16:04:00+00:00,ID4287,Quality Check 1,0,0,start,i_83
Case 102,Turning & Milling Q.C.,2012-02-29 16:36:00+00:00,ID4287,Quality Check 1,0,0,complete,i_83
Case 102,Turning & Milling - Machine 8,2012-02-29 17:19:00+00:00,ID0997,Machine 8 - Turning & Milling,8,0,start,i_85
Case 102,Turning & Milling - Machine 8,2012-02-29 17:20:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_84
Case 102,Turning & Milling - Machine 8,2012-02-29 17:48:00+00:00,ID0997,Machine 8 - Turning & Milling,8,0,complete,i_85
Case 102,Turning & Milling - Machine 8,2012-02-29 22:27:00+00:00,ID4219,Machine 8 - Turning & Milling,15,0,start,i_86
Case 102,Turning & Milling - Machine 8,2012-03-01 00:11:00+00:00,ID4219,Machine 8 - Turning & Milling,15,0,complete,i_86
Case 102,Turning & Milling Q.C.,2012-03-01 09:30:00+00:00,ID4287,Quality Check 1,0,1,start,i_87
Case 102,Turning & Milling Q.C.,2012-03-01 10:49:00+00:00,ID4287,Quality Check 1,0,1,complete,i_87
Case 102,Turning & Milling Q.C.,2012-03-06 00:00:00+00:00,ID4287,Quality Check 1,23,0,start,i_88
Case 102,Turning & Milling Q.C.,2012-03-06 01:15:00+00:00,ID4287,Quality Check 1,23,0,complete,i_88
Case 102,Laser Marking - Machine 7,2012-03-08 13:32:00+00:00,ID0998,Machine 7- Laser Marking,23,0,start,i_89
Case 102,Laser Marking - Machine 7,2012-03-08 14:41:00+00:00,ID0998,Machine 7- Laser Marking,23,0,complete,i_89
Case 102,Lapping - Machine 1,2012-03-09 00:00:00+00:00,ID4882,Machine 1 - Lapping,0,0,start,i_90
Case 102,Lapping - Machine 1,2012-03-09 01:15:00+00:00,ID4882,Machine 1 - Lapping,0,0,complete,i_90
Case 102,Lapping - Machine 1,2012-03-11 09:38:00+00:00,ID0998,Machine 1 - Lapping,23,0,start,i_91
Case 102,Lapping - Machine 1,2012-03-11 11:04:00+00:00,ID0998,Machine 1 - Lapping,23,0,complete,i_91
Case 102,Round Grinding - Manual,2012-03-11 19:25:00+00:00,ID4528,Machine 27 - Grinding,0,0,start,i_92
Case 102,Round Grinding - Manual,2012-03-11 20:00:00+00:00,ID4528,Machine 27 - Grinding,23,0,start,i_93
Case 102,Round Grinding - Manual,2012-03-11 20:00:00+00:00,ID4528,Machine 27 - Grinding,0,0,complete,i_92
Case 102,Round Grinding - Manual,2012-03-11 23:40:00+00:00,ID4528,Machine 27 - Grinding,23,0,complete,i_93
Case 102,Round Grinding - Machine 3,2012-03-12 07:03:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,start,i_94
Case 102,Round Grinding - Q.C.,2012-03-12 07:50:00+00:00,ID4287,Quality Check 1,5,0,start,i_96
Case 102,Round Grinding - Machine 3,2012-03-12 08:02:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,start,i_95
Case 102,Round Grinding - Machine 3,2012-03-12 08:04:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,complete,i_94
Case 102,Round Grinding - Machine 3,2012-03-12 08:09:00+00:00,ID4445,Machine 3 - Round Grinding,0,0,complete,i_95
Case 102,Round Grinding - Q.C.,2012-03-12 08:09:00+00:00,ID4287,Quality Check 1,5,0,complete,i_96
Case 102,Round Grinding - Machine 3,2012-03-12 08:10:00+00:00,ID4445,Machine 3 - Round Grinding,23,0,start,i_98
Case 102,Round Grinding - Q.C.,2012-03-12 10:00:00+00:00,ID4287,Quality Check 1,18,0,start,i_97
Case 102,Round Grinding - Q.C.,2012-03-12 10:57:00+00:00,ID4287,Quality Check 1,18,0,complete,i_97
Case 102,Round Grinding - Machine 3,2012-03-12 10:58:00+00:00,ID4445,Machine 3 - Round Grinding,23,0,complete,i_98
Case 102,Final Inspection Q.C.,2012-03-12 14:00:00+00:00,ID4287,Quality Check 1,0,0,start,i_99
Case 102,Final Inspection Q.C.,2012-03-12 17:00:00+00:00,ID4287,Quality Check 1,0,0,complete,i_99
Case 102,Final Inspection Q.C.,2012-03-13 08:00:00+00:00,ID4287,Quality Check 1,23,0,start,i_100
Case 102,Final Inspection Q.C.,2012-03-13 08:06:00+00:00,ID4287,Quality Check 1,23,0,complete,i_100
Case 102,Packing,2012-03-14 00:00:00+00:00,ID4820,Packing,23,0,start,i_101
Case 102,Packing,2012-03-14 01:00:00+00:00,ID4820,Packing,23,0,complete,i_101
Case 103,Turning & Milling - Machine 8,2012-03-06 09:10:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_102
Case 103,Turning & Milling - Machine 8,2012-03-06 10:18:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_102
Case 103,Turning & Milling - Machine 8,2012-03-08 04:19:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_103
Case 103,Turning & Milling - Machine 8,2012-03-08 06:51:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_103
Case 103,Turning & Milling - Machine 8,2012-03-08 10:04:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,start,i_104
Case 103,Turning & Milling - Machine 8,2012-03-08 16:38:00+00:00,ID4219,Machine 8 - Turning & Milling,0,0,complete,i_104
Case 103,Turning & Milling - Machine 8,2012-03-08 20:24:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_105
Case 103,Turning & Milling - Machine 8,2012-03-09 04:35:00+00:00,ID0997,Machine 8 - Turning & Milling,14,0,start,i_106
Case 103,Turning & Milling - Machine 8,2012-03-09 04:35:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_105
Case 103,Turning & Milling - Machine 8,2012-03-09 07:27:00+00:00,ID0997,Machine 8 - Turning & Milling,14,0,complete,i_106
Case 103,Turning & Milling Q.C.,2012-03-09 07:32:00+00:00,ID4618,Quality Check 1,0,0,start,i_108
Case 103,Turning & Milling - Machine 8,2012-03-09 07:32:00+00:00,ID4219,Machine 8 - Turning & Milling,8,0,start,i_107
Case 103,Turning & Milling - Machine 8,2012-03-09 10:27:00+00:00,ID4219,Machine 8 - Turning & Milling,8,0,complete,i_107
Case 103,Turning & Milling Q.C.,2012-03-09 10:38:00+00:00,ID4618,Quality Check 1,0,0,complete,i_108
Case 103,Turning & Milling Q.C.,2012-03-11 07:42:00+00:00,ID4618,Quality Check 1,0,0,start,i_109
Case 103,Turning & Milling Q.C.,2012-03-11 08:16:00+00:00,ID4618,Quality Check 1,0,0,complete,i_109
Case 103,Turning & Milling - Machine 8,2012-03-11 09:03:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_110
Case 103,Turning & Milling - Machine 8,2012-03-11 10:37:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,start,i_111
Case 103,Turning & Milling - Machine 8,2012-03-11 10:37:00+00:00,ID0997,Machine 8 - Turning & Milling,0,0,complete,i_110
