concept:name,OfferID,OfferedAmount,case:ApplicationType,Accepted,case:LoanGoal,case:concept:name,Selected,org:resource,Action,lifecycle:transition,time:timestamp,case:RequestedAmount,FirstWithdrawalAmount,EventID,EventOrigin,CreditScore,MonthlyCost,NumberOfTerms
W_Validate application,,,New credit,,Car,Application_1875938883,,User_112,Created,schedule,2016-01-27 11:12:12.240000+00:00,15000.0,,Workitem_877740659,Workflow,,,
W_Validate application,,,New credit,,Car,Application_1875938883,,User_112,Obtained,start,2016-01-27 11:12:12.243000+00:00,15000.0,,Workitem_1817040180,Workflow,,,
A_Validating,,,New credit,,Car,Application_1875938883,,User_112,statechange,complete,2016-01-27 11:12:13.072000+00:00,15000.0,,ApplState_209679128,Application,,,
O_Returned,Offer_1976684703,,New credit,,Car,Application_1875938883,,User_112,statechange,complete,2016-01-27 11:12:48.907000+00:00,15000.0,,OfferState_1923227414,Offer,,,
W_Validate application,,,New credit,,Car,Application_1875938883,,User_112,Released,suspend,2016-01-27 11:14:37.289000+00:00,15000.0,,Workitem_1837212817,Workflow,,,
O_Accepted,Offer_1976684703,,New credit,,Car,Application_1875938883,,User_115,statechange,complete,2016-01-28 09:25:09.076000+00:00,15000.0,,OfferState_634264227,Offer,,,
A_Pending,,,New credit,,Car,Application_1875938883,,User_115,statechange,complete,2016-01-28 09:25:09.098000+00:00,15000.0,,ApplState_245549790,Application,,,
W_Validate application,,,New credit,,Car,Application_1875938883,,User_115,Deleted,ate_abort,2016-01-28 09:25:09.103000+00:00,15000.0,,Workitem_926368925,Workflow,,,
A_Create Application,,,Limit raise,,Unknown,Application_1825891896,,User_9,Created,complete,2016-01-15 08:11:44.074000+00:00,0.0,,Application_1825891896,Application,,,
A_Concept,,,Limit raise,,Unknown,Application_1825891896,,User_9,statechange,complete,2016-01-15 08:11:44.077000+00:00,0.0,,ApplState_828207362,Application,,,
W_Complete application,,,Limit raise,,Unknown,Application_1825891896,,User_9,Created,schedule,2016-01-15 08:11:44.083000+00:00,0.0,,Workitem_261209796,Workflow,,,
W_Complete application,,,Limit raise,,Unknown,Application_1825891896,,User_9,Obtained,start,2016-01-15 08:11:44.085000+00:00,0.0,,Workitem_669310822,Workflow,,,
A_Accepted,,,Limit raise,,Unknown,Application_1825891896,,User_9,statechange,complete,2016-01-15 08:13:12.026000+00:00,0.0,,ApplState_1953682365,Application,,,
O_Create Offer,,15000.0,Limit raise,True,Unknown,Application_1825891896,True,User_9,Created,complete,2016-01-15 08:13:55.890000+00:00,0.0,0.0,Offer_33945762,Offer,0.0,150.0,127.0
O_Created,Offer_33945762,,Limit raise,,Unknown,Application_1825891896,,User_9,statechange,complete,2016-01-15 08:13:57.287000+00:00,0.0,,OfferState_1388940380,Offer,,,
O_Sent (mail and online),Offer_33945762,,Limit raise,,Unknown,Application_1825891896,,User_9,statechange,complete,2016-01-15 08:14:42.075000+00:00,0.0,,OfferState_82565853,Offer,,,
W_Complete application,,,Limit raise,,Unknown,Application_1825891896,,User_9,Deleted,complete,2016-01-15 08:14:42.089000+00:00,0.0,,Workitem_954520577,Workflow,,,
W_Call after offers,,,Limit raise,,Unknown,Application_1825891896,,User_9,Created,schedule,2016-01-15 08:14:42.096000+00:00,0.0,,Workitem_2114418555,Workflow,,,
W_Call after offers,,,Limit raise,,Unknown,Application_1825891896,,User_9,Obtained,start,2016-01-15 08:14:42.098000+00:00,0.0,,Workitem_1933302128,Workflow,,,
A_Complete,,,Limit raise,,Unknown,Application_1825891896,,User_9,statechange,complete,2016-01-15 08:14:42.100000+00:00,0.0,,ApplState_1320218779,Application,,,
W_Call after offers,,,Limit raise,,Unknown,Application_1825891896,,User_9,Released,suspend,2016-01-15 08:16:45.016000+00:00,0.0,,Workitem_784266209,Workflow,,,
W_Call after offers,,,Limit raise,,Unknown,Application_1825891896,,User_18,Obtained,resume,2016-01-19 08:11:18.873000+00:00,0.0,,Workitem_589684911,Workflow,,,
W_Call after offers,,,Limit raise,,Unknown,Application_1825891896,,User_18,Released,suspend,2016-01-19 08:11:43.311000+00:00,0.0,,Workitem_914136429,Workflow,,,
W_Call after offers,,,Limit raise,,Unknown,Application_1825891896,,User_116,Deleted,ate_abort,2016-01-21 08:43:47.272000+00:00,0.0,,Workitem_844250974,Workflow,,,
W_Validate application,,,Limit raise,,Unknown,Application_1825891896,,User_116,Created,schedule,2016-01-21 08:43:47.279000+00:00,0.0,,Workitem_651509412,Workflow,,,
W_Validate application,,,Limit raise,,Unknown,Application_1825891896,,User_116,Obtained,start,2016-01-21 08:43:47.281000+00:00,0.0,,Workitem_279768428,Workflow,,,
A_Validating,,,Limit raise,,Unknown,Application_1825891896,,User_116,statechange,complete,2016-01-21 08:43:48.161000+00:00,0.0,,ApplState_213120704,Application,,,
O_Returned,Offer_33945762,,Limit raise,,Unknown,Application_1825891896,,User_116,statechange,complete,2016-01-21 08:45:21.076000+00:00,0.0,,OfferState_474097452,Offer,,,
W_Validate application,,,Limit raise,,Unknown,Application_1825891896,,User_116,Released,suspend,2016-01-21 08:48:20.412000+00:00,0.0,,Workitem_2119351239,Workflow,,,
O_Accepted,Offer_33945762,,Limit raise,,Unknown,Application_1825891896,,User_115,statechange,complete,2016-01-21 10:29:14.418000+00:00,0.0,,OfferState_1543654212,Offer,,,
A_Pending,,,Limit raise,,Unknown,Application_1825891896,,User_115,statechange,complete,2016-01-21 10:29:14.421000+00:00,0.0,,ApplState_511371958,Application,,,
W_Validate application,,,Limit raise,,Unknown,Application_1825891896,,User_115,Deleted,ate_abort,2016-01-21 10:29:14.424000+00:00,0.0,,Workitem_1475642006,Workflow,,,
A_Create Application,,,New credit,,Car,Application_1341760659,,User_1,Created,complete,2016-01-16 20:47:08.190000+00:00,9500.0,,Application_1341760659,Application,,,
A_Submitted,,,New credit,,Car,Application_1341760659,,User_1,statechange,complete,2016-01-16 20:47:08.235000+00:00,9500.0,,ApplState_383628237,Application,,,
W_Handle leads,,,New credit,,Car,Application_1341760659,,User_1,Created,schedule,2016-01-16 20:47:08.725000+00:00,9500.0,,Workitem_1117637819,Workflow,,,
W_Handle leads,,,New credit,,Car,Application_1341760659,,User_1,Deleted,withdraw,2016-01-16 20:48:25.303000+00:00,9500.0,,Workitem_445089189,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_1,Created,schedule,2016-01-16 20:48:25.312000+00:00,9500.0,,Workitem_668219249,Workflow,,,
A_Concept,,,New credit,,Car,Application_1341760659,,User_1,statechange,complete,2016-01-16 20:48:25.317000+00:00,9500.0,,ApplState_1107785576,Application,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_13,Obtained,start,2016-01-18 08:15:18.604000+00:00,9500.0,,Workitem_1064443916,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_13,Released,suspend,2016-01-18 08:15:23.630000+00:00,9500.0,,Workitem_1974829227,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_35,Obtained,resume,2016-01-18 12:36:40.614000+00:00,9500.0,,Workitem_2040788013,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_35,Released,suspend,2016-01-18 12:36:47.876000+00:00,9500.0,,Workitem_1573172221,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_27,Obtained,resume,2016-01-18 12:48:49.672000+00:00,9500.0,,Workitem_2106797548,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_27,Released,suspend,2016-01-18 12:51:57.943000+00:00,9500.0,,Workitem_849871606,Workflow,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_38,Obtained,resume,2016-01-19 13:19:38.779000+00:00,9500.0,,Workitem_322944893,Workflow,,,
A_Accepted,,,New credit,,Car,Application_1341760659,,User_38,statechange,complete,2016-01-19 13:29:30.869000+00:00,9500.0,,ApplState_1666962368,Application,,,
O_Create Offer,,9500.0,New credit,True,Car,Application_1341760659,True,User_38,Created,complete,2016-01-19 13:36:57.564000+00:00,9500.0,4393.0,Offer_2040623888,Offer,982.0,278.11,38.0
O_Created,Offer_2040623888,,New credit,,Car,Application_1341760659,,User_38,statechange,complete,2016-01-19 13:36:58.877000+00:00,9500.0,,OfferState_987974232,Offer,,,
O_Sent (mail and online),Offer_2040623888,,New credit,,Car,Application_1341760659,,User_38,statechange,complete,2016-01-19 13:37:13.038000+00:00,9500.0,,OfferState_2106909273,Offer,,,
W_Complete application,,,New credit,,Car,Application_1341760659,,User_38,Deleted,complete,2016-01-19 13:37:13.052000+00:00,9500.0,,Workitem_266148161,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1341760659,,User_38,Created,schedule,2016-01-19 13:37:13.061000+00:00,9500.0,,Workitem_1121273104,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1341760659,,User_38,Obtained,start,2016-01-19 13:37:13.063000+00:00,9500.0,,Workitem_365817167,Workflow,,,
A_Complete,,,New credit,,Car,Application_1341760659,,User_38,statechange,complete,2016-01-19 13:37:13.065000+00:00,9500.0,,ApplState_1111346242,Application,,,
W_Call after offers,,,New credit,,Car,Application_1341760659,,User_38,Released,suspend,2016-01-19 13:41:57.114000+00:00,9500.0,,Workitem_300571790,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1341760659,,User_24,Obtained,resume,2016-01-23 11:10:35.467000+00:00,9500.0,,Workitem_1778578446,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1341760659,,User_24,Released,suspend,2016-01-23 11:10:53.963000+00:00,9500.0,,Workitem_1520808889,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_1341760659,,User_116,Deleted,ate_abort,2016-01-27 10:25:42.742000+00:00,9500.0,,Workitem_485796812,Workflow,,,
W_Validate application,,,New credit,,Car,Application_1341760659,,User_116,Created,schedule,2016-01-27 10:25:42.852000+00:00,9500.0,,Workitem_1991593868,Workflow,,,
W_Validate application,,,New credit,,Car,Application_1341760659,,User_116,Obtained,start,2016-01-27 10:25:42.855000+00:00,9500.0,,Workitem_1995127677,Workflow,,,
A_Validating,,,New credit,,Car,Application_1341760659,,User_116,statechange,complete,2016-01-27 10:25:43.781000+00:00,9500.0,,ApplState_238267885,Application,,,
O_Returned,Offer_2040623888,,New credit,,Car,Application_1341760659,,User_116,statechange,complete,2016-01-27 10:29:35.242000+00:00,9500.0,,OfferState_942471081,Offer,,,
W_Validate application,,,New credit,,Car,Application_1341760659,,User_116,Released,suspend,2016-01-27 10:31:54.094000+00:00,9500.0,,Workitem_1346536344,Workflow,,,
O_Accepted,Offer_2040623888,,New credit,,Car,Application_1341760659,,User_29,statechange,complete,2016-01-27 16:30:30.340000+00:00,9500.0,,OfferState_1008828265,Offer,,,
A_Pending,,,New credit,,Car,Application_1341760659,,User_29,statechange,complete,2016-01-27 16:30:30.343000+00:00,9500.0,,ApplState_524656989,Application,,,
W_Validate application,,,New credit,,Car,Application_1341760659,,User_29,Deleted,ate_abort,2016-01-27 16:30:30.346000+00:00,9500.0,,Workitem_944642773,Workflow,,,
A_Create Application,,,New credit,,Unknown,Application_1779939197,,User_21,Created,complete,2016-01-18 09:24:55.057000+00:00,0.0,,Application_1779939197,Application,,,
W_Complete application,,,New credit,,Unknown,Application_1779939197,,User_21,Created,schedule,2016-01-18 09:24:55.065000+00:00,0.0,,Workitem_1064239659,Workflow,,,
W_Complete application,,,New credit,,Unknown,Application_1779939197,,User_21,Obtained,start,2016-01-18 09:24:55.068000+00:00,0.0,,Workitem_1935964225,Workflow,,,
A_Concept,,,New credit,,Unknown,Application_1779939197,,User_21,statechange,complete,2016-01-18 09:24:55.070000+00:00,0.0,,ApplState_440168835,Application,,,
A_Accepted,,,New credit,,Unknown,Application_1779939197,,User_21,statechange,complete,2016-01-18 09:33:51.782000+00:00,0.0,,ApplState_1651267361,Application,,,
O_Create Offer,,31500.0,New credit,True,Unknown,Application_1779939197,True,User_21,Created,complete,2016-01-18 09:38:38.650000+00:00,0.0,78.46,Offer_1006288721,Offer,829.0,648.3,54.0
O_Created,Offer_1006288721,,New credit,,Unknown,Application_1779939197,,User_21,statechange,complete,2016-01-18 09:38:39.985000+00:00,0.0,,OfferState_2031784731,Offer,,,
O_Sent (mail and online),Offer_1006288721,,New credit,,Unknown,Application_1779939197,,User_21,statechange,complete,2016-01-18 09:39:35.291000+00:00,0.0,,OfferState_623931960,Offer,,,
W_Complete application,,,New credit,,Unknown,Application_1779939197,,User_21,Deleted,complete,2016-01-18 09:39:35.312000+00:00,0.0,,Workitem_1246632187,Workflow,,,
W_Call after offers,,,New credit,,Unknown,Application_1779939197,,User_21,Created,schedule,2016-01-18 09:39:35.325000+00:00,0.0,,Workitem_892327483,Workflow,,,
W_Call after offers,,,New credit,,Unknown,Application_1779939197,,User_21,Obtained,start,2016-01-18 09:39:35.327000+00:00,0.0,,Workitem_601476075,Workflow,,,
A_Complete,,,New credit,,Unknown,Application_1779939197,,User_21,statechange,complete,2016-01-18 09:39:35.330000+00:00,0.0,,ApplState_1829055942,Application,,,
W_Call after offers,,,New credit,,Unknown,Application_1779939197,,User_21,Released,suspend,2016-01-18 09:40:44.396000+00:00,0.0,,Workitem_1914001911,Workflow,,,
W_Call after offers,,,New credit,,Unknown,Application_1779939197,,User_27,Obtained,resume,2016-01-22 10:18:15.324000+00:00,0.0,,Workitem_2113182787,Workflow,,,
W_Call after offers,,,New credit,,Unknown,Application_1779939197,,User_27,Released,suspend,2016-01-22 10:19:08.597000+00:00,0.0,,Workitem_1001964067,Workflow,,,
W_Call after offers,,,New credit,,Unknown,Application_1779939197,,User_114,Deleted,ate_abort,2016-01-28 09:29:09.040000+00:00,0.0,,Workitem_31687314,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_114,Created,schedule,2016-01-28 09:29:09.048000+00:00,0.0,,Workitem_1021714150,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_114,Obtained,start,2016-01-28 09:29:09.050000+00:00,0.0,,Workitem_60755138,Workflow,,,
A_Validating,,,New credit,,Unknown,Application_1779939197,,User_114,statechange,complete,2016-01-28 09:29:10.325000+00:00,0.0,,ApplState_1919679280,Application,,,
O_Returned,Offer_1006288721,,New credit,,Unknown,Application_1779939197,,User_114,statechange,complete,2016-01-28 09:30:12.956000+00:00,0.0,,OfferState_625704113,Offer,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_114,Released,suspend,2016-01-28 09:35:33.824000+00:00,0.0,,Workitem_637498371,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_30,Obtained,resume,2016-02-01 07:21:27.969000+00:00,0.0,,Workitem_785812553,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_30,Released,suspend,2016-02-01 07:21:49.944000+00:00,0.0,,Workitem_1650055896,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_95,Obtained,resume,2016-02-01 15:14:55.456000+00:00,0.0,,Workitem_739290179,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_95,Released,suspend,2016-02-01 15:14:59.525000+00:00,0.0,,Workitem_1055264786,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_30,Obtained,resume,2016-02-02 08:04:25.638000+00:00,0.0,,Workitem_1761287875,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_30,Released,suspend,2016-02-02 08:04:38.153000+00:00,0.0,,Workitem_2110919488,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Obtained,resume,2016-02-02 09:41:27.045000+00:00,0.0,,Workitem_1330807934,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Deleted,complete,2016-02-02 10:27:52.242000+00:00,0.0,,Workitem_1298316456,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_87,Created,schedule,2016-02-02 10:27:52.249000+00:00,0.0,,Workitem_213081314,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_87,Obtained,start,2016-02-02 10:27:52.251000+00:00,0.0,,Workitem_868795653,Workflow,,,
A_Incomplete,,,New credit,,Unknown,Application_1779939197,,User_87,statechange,complete,2016-02-02 10:27:52.253000+00:00,0.0,,ApplState_555373207,Application,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_87,Released,suspend,2016-02-02 10:28:31.041000+00:00,0.0,,Workitem_1770347874,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_2,Obtained,resume,2016-02-02 11:21:25.207000+00:00,0.0,,Workitem_2113358457,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_2,Released,suspend,2016-02-02 11:26:29.771000+00:00,0.0,,Workitem_766312178,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_5,Obtained,resume,2016-02-03 08:43:14.441000+00:00,0.0,,Workitem_1400156819,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_5,Released,suspend,2016-02-03 08:44:11.893000+00:00,0.0,,Workitem_1461221342,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_34,Obtained,resume,2016-02-03 15:35:36.916000+00:00,0.0,,Workitem_1299157153,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_34,Released,suspend,2016-02-03 15:35:41.955000+00:00,0.0,,Workitem_280867115,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_34,Obtained,resume,2016-02-03 15:42:51.498000+00:00,0.0,,Workitem_484127636,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_34,Released,suspend,2016-02-03 15:46:54.622000+00:00,0.0,,Workitem_2048327771,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_34,Obtained,resume,2016-02-03 15:47:02.632000+00:00,0.0,,Workitem_1476508254,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_34,Released,suspend,2016-02-03 15:47:20.378000+00:00,0.0,,Workitem_1573354695,Workflow,,,
W_Call incomplete files,,,New credit,,Unknown,Application_1779939197,,User_118,Deleted,ate_abort,2016-02-04 08:41:07.036000+00:00,0.0,,Workitem_233152060,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_118,Created,schedule,2016-02-04 08:41:07.042000+00:00,0.0,,Workitem_750930339,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_118,Obtained,start,2016-02-04 08:41:07.045000+00:00,0.0,,Workitem_1825354940,Workflow,,,
A_Validating,,,New credit,,Unknown,Application_1779939197,,User_118,statechange,complete,2016-02-04 08:41:07.110000+00:00,0.0,,ApplState_918132646,Application,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_118,Released,suspend,2016-02-04 08:41:58.876000+00:00,0.0,,Workitem_571212756,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Obtained,resume,2016-02-04 09:11:29.270000+00:00,0.0,,Workitem_2048084185,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Released,suspend,2016-02-04 09:24:05.520000+00:00,0.0,,Workitem_1938204926,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Obtained,resume,2016-02-04 09:24:13.600000+00:00,0.0,,Workitem_2141849061,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Released,suspend,2016-02-04 09:24:21.611000+00:00,0.0,,Workitem_24877835,Workflow,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Obtained,resume,2016-02-04 10:05:46.534000+00:00,0.0,,Workitem_1627110300,Workflow,,,
O_Accepted,Offer_1006288721,,New credit,,Unknown,Application_1779939197,,User_87,statechange,complete,2016-02-04 10:06:30.262000+00:00,0.0,,OfferState_1650782402,Offer,,,
A_Pending,,,New credit,,Unknown,Application_1779939197,,User_87,statechange,complete,2016-02-04 10:06:30.275000+00:00,0.0,,ApplState_406634219,Application,,,
W_Validate application,,,New credit,,Unknown,Application_1779939197,,User_87,Deleted,complete,2016-02-04 10:06:30.280000+00:00,0.0,,Workitem_395761240,Workflow,,,
A_Create Application,,,New credit,,Car,Application_449283910,,User_38,Created,complete,2016-01-19 15:07:41.841000+00:00,6500.0,,Application_449283910,Application,,,
W_Complete application,,,New credit,,Car,Application_449283910,,User_38,Created,schedule,2016-01-19 15:07:41.864000+00:00,6500.0,,Workitem_640641443,Workflow,,,
W_Complete application,,,New credit,,Car,Application_449283910,,User_38,Obtained,start,2016-01-19 15:07:41.867000+00:00,6500.0,,Workitem_872465040,Workflow,,,
A_Concept,,,New credit,,Car,Application_449283910,,User_38,statechange,complete,2016-01-19 15:07:41.869000+00:00,6500.0,,ApplState_1866711904,Application,,,
A_Accepted,,,New credit,,Car,Application_449283910,,User_38,statechange,complete,2016-01-19 15:16:38.485000+00:00,6500.0,,ApplState_1890769922,Application,,,
O_Create Offer,,6500.0,New credit,True,Car,Application_449283910,False,User_38,Created,complete,2016-01-19 15:25:19.788000+00:00,6500.0,6500.0,Offer_210743643,Offer,0.0,154.72,48.0
O_Created,Offer_210743643,,New credit,,Car,Application_449283910,,User_38,statechange,complete,2016-01-19 15:25:21.109000+00:00,6500.0,,OfferState_340067365,Offer,,,
O_Sent (mail and online),Offer_210743643,,New credit,,Car,Application_449283910,,User_38,statechange,complete,2016-01-19 15:25:36.708000+00:00,6500.0,,OfferState_887459695,Offer,,,
W_Complete application,,,New credit,,Car,Application_449283910,,User_38,Deleted,complete,2016-01-19 15:25:36.724000+00:00,6500.0,,Workitem_30896241,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_449283910,,User_38,Created,schedule,2016-01-19 15:25:36.731000+00:00,6500.0,,Workitem_57617269,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_449283910,,User_38,Obtained,start,2016-01-19 15:25:36.733000+00:00,6500.0,,Workitem_1476631837,Workflow,,,
A_Complete,,,New credit,,Car,Application_449283910,,User_38,statechange,complete,2016-01-19 15:25:36.736000+00:00,6500.0,,ApplState_1638931040,Application,,,
W_Call after offers,,,New credit,,Car,Application_449283910,,User_38,Released,suspend,2016-01-19 15:29:46.152000+00:00,6500.0,,Workitem_83096152,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_449283910,,User_24,Obtained,resume,2016-01-23 11:15:21.822000+00:00,6500.0,,Workitem_878828496,Workflow,,,
W_Call after offers,,,New credit,,Car,Application_449283910,,User_24,Released,suspend,2016-01-23 11:15:40.703000+00:00,6500.0,,Workitem_2098319099,Workflow,,,
O_Create Offer,,6500.0,New credit,True,Car,Application_449283910,False,User_85,Created,complete,2016-01-29 09:46:13.188000+00:00,6500.0,6500.0,Offer_725773581,Offer,0.0,153.59,48.0
O_Created,Offer_725773581,,New credit,,Car,Application_449283910,,User_85,statechange,complete,2016-01-29 09:46:14.878000+00:00,6500.0,,OfferState_47074995,Offer,,,
O_Sent (mail and online),Offer_725773581,,New credit,,Car,Application_449283910,,User_85,statechange,complete,2016-01-29 09:46:26.907000+00:00,6500.0,,OfferState_1815115121,Offer,,,
O_Cancelled,Offer_725773581,,New credit,,Car,Application_449283910,,User_36,statechange,complete,2016-02-03 10:59:38.767000+00:00,6500.0,,OfferState_1157275882,Offer,,,
O_Cancelled,Offer_210743643,,New credit,,Car,Application_449283910,,User_36,statechange,complete,2016-02-03 10:59:38.801000+00:00,6500.0,,OfferState_415705083,Offer,,,
A_Cancelled,,,New credit,,Car,Application_449283910,,User_36,statechange,complete,2016-02-03 11:00:06.385000+00:00,6500.0,,ApplState_1370390433,Application,,,
W_Call after offers,,,New credit,,Car,Application_449283910,,User_36,Deleted,ate_abort,2016-02-03 11:00:06.445000+00:00,6500.0,,Workitem_1246284767,Workflow,,,
A_Create Application,,,New credit,,Car,Application_719477615,,User_14,Created,complete,2016-02-01 09:27:52.347000+00:00,5000.0,,Application_719477615,Application,,,
W_Complete application,,,New credit,,Car,Application_719477615,,User_14,Created,schedule,2016-02-01 09:27:52.361000+00:00,5000.0,,Workitem_1730752450,Workflow,,,
