dimension,granularity,indicator_name,result,status
cost,groups,direct_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_desired_activity_count,2.667,Success
cost,groups,expected_direct_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,expected_human_resource_count,,Column 'human_resource' is not present in event log.
cost,groups,expected_inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,expected_labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,expected_labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,expected_maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,expected_missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,expected_overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_resource_count,7.333,Success
cost,groups,expected_rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_rework_count,20.0,Success
cost,groups,expected_rework_percentage,0.536,Success
cost,groups,expected_total_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,groups,expected_variable_cost,,Column 'cost:variable' is not present in event log.
cost,groups,expected_warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,human_resource_and_case_count_ratio,,Column 'human_resource' is not present in event log.
cost,groups,human_resource_count,,Column 'human_resource' is not present in event log.
cost,groups,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,resource_count,17,Success
cost,groups,rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,rework_count,60,Success
cost,groups,rework_percentage,0.536,Success
cost,groups,total_cost,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,groups,variable_cost,,Column 'cost:variable' is not present in event log.
cost,groups,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,instances,fixed_cost_for_single_events_of_activity_instances,,Column 'cost:fixed' is not present in event log.
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:fixed' is not present in event log.
cost,instances,inventory_cost_for_single_events_of_activity_instances,,Column 'cost:inventory' is not present in event log.
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:inventory' is not present in event log.
cost,instances,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,instances,labor_cost_for_single_events_of_activity_instances,,Column 'cost:labor' is not present in event log.
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:labor' is not present in event log.
cost,instances,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_for_single_events_of_activity_instances,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:total' is not present in event log.
cost,instances,variable_cost_for_single_events_of_activity_instances,,Column 'cost:variable' is not present in event log.
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:variable' is not present in event log.
flexibility,activities,activity_instance_and_human_resource_count_ratio,,Column 'human_resource' is not present in event log.
flexibility,activities,client_count,,Column 'client' is not present in event log.
flexibility,activities,directly_follows_relations_count,2,Success
flexibility,activities,human_resource_count,,Column 'human_resource' is not present in event log.
flexibility,cases,activity_and_role_count_ratio,,Column 'org:role' is not present in event log.
flexibility,cases,activity_instance_and_human_resource_count_ratio,,Column 'human_resource' is not present in event log.
flexibility,cases,directly_follows_relations_and_activity_count_ratio,1.632,Success
flexibility,cases,directly_follows_relations_count,31,Success
flexibility,cases,human_resource_count,,Column 'human_resource' is not present in event log.
flexibility,cases,optional_activity_count,10,Success
flexibility,cases,optionality,0.526,Success
flexibility,cases,role_count,,Column 'org:role' is not present in event log.
flexibility,cases,variant_case_coverage,0.01,Success
flexibility,groups,activity_and_role_count_ratio,,Column 'org:role' is not present in event log.
flexibility,groups,activity_instance_and_human_resource_count_ratio,,Column 'human_resource' is not present in event log.
flexibility,groups,client_count,,Column 'client' is not present in event log.
flexibility,groups,directly_follows_relations_and_activity_count_ratio,0.75,Success
flexibility,groups,directly_follows_relations_count,39,Success
flexibility,groups,expected_activity_and_role_count_ratio,,Column 'org:role' is not present in event log.
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,,Column 'human_resource' is not present in event log.
flexibility,groups,expected_client_count,,Column 'client' is not present in event log.
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,1.577,Success
flexibility,groups,expected_directly_follows_relations_count,27.333,Success
flexibility,groups,expected_human_resource_count,,Column 'human_resource' is not present in event log.
flexibility,groups,expected_optional_activity_count,8.333,Success
flexibility,groups,expected_optionality,0.481,Success
flexibility,groups,expected_role_count,,Column 'org:role' is not present in event log.
flexibility,groups,human_resource_count,,Column 'human_resource' is not present in event log.
flexibility,groups,optional_activity_count,12,Success
flexibility,groups,optionality,0.231,Success
flexibility,groups,role_and_variant_count_ratio,,Column 'org:role' is not present in event log.
flexibility,groups,role_count,,Column 'org:role' is not present in event log.
flexibility,groups,variant_case_coverage,0.03,Success
flexibility,groups,variant_count,3,Success
general,activities,activity_instance_count,100,Success
general,activities,human_resource_count,,Column 'human_resource' is not present in event log.
general,activities,resource_count,31,Success
general,cases,activity_count,19,Success
general,cases,activity_instance_count,41,Success
general,cases,human_resource_count,,Column 'human_resource' is not present in event log.
general,cases,resource_count,7,Success
general,cases,role_count,,Column 'org:role' is not present in event log.
general,groups,activity_count,52,Success
general,groups,activity_instance_count,112,Success
general,groups,case_count,3,Success
general,groups,expected_activity_count,17.333,Success
general,groups,expected_activity_instance_count,37.333,Success
general,groups,expected_human_resource_count,,Column 'human_resource' is not present in event log.
general,groups,expected_resource_count,7.333,Success
general,groups,expected_role_count,,Column 'org:role' is not present in event log.
general,groups,human_resource_count,,Column 'human_resource' is not present in event log.
general,groups,resource_count,22,Success
general,groups,role_count,,Column 'org:role' is not present in event log.
quality,activities,activity_instance_count_by_human_resource,,Missing required args: ['human_resource_name']
quality,activities,client_count_and_total_cost_ratio,,Column 'client' is not present in event log.
quality,activities,human_resource_count,,Column 'human_resource' is not present in event log.
quality,activities,outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,activities,rework_count,0,Success
quality,activities,rework_count_by_value,0,Success
quality,activities,rework_percentage,0.0,Success
quality,activities,rework_percentage_by_value,0.0,Success
quality,activities,rework_time,0 days 00:00:00,Success
quality,activities,successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,activities,successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
quality,activities,total_cost_and_client_count_ratio,,Column 'cost:total' is not present in event log.
quality,cases,activity_instance_count_by_human_resource,,Missing required args: ['human_resource_name']
quality,cases,activity_instance_count_by_role,,Missing required args: ['role_name']
quality,cases,automated_activity_count,3,Success
quality,cases,automated_activity_instance_count,10,Success
quality,cases,desired_activity_count,3,Success
quality,cases,human_resource_count,,Column 'human_resource' is not present in event log.
quality,cases,non_automated_activity_count,16,Success
quality,cases,non_automated_activity_instance_count,31,Success
quality,cases,outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,cases,overall_quality,,Column 'quality' is not present in event log.
quality,cases,repeatability,0.5369999999999999,Success
quality,cases,rework_count,22,Success
quality,cases,rework_count_by_value,22,Success
quality,cases,rework_of_activities_subset,7,Success
quality,cases,rework_percentage,0.537,Success
quality,cases,rework_percentage_by_value,0.537,Success
quality,cases,rework_time,7 days 19:03:49.512000,Success
quality,cases,successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,cases,successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
quality,cases,unwanted_activity_count,3,Success
quality,cases,unwanted_activity_instance_count,10,Success
quality,cases,unwanted_activity_instance_percentage,0.244,Success
quality,cases,unwanted_activity_percentage,0.158,Success
quality,groups,activity_instance_count_by_human_resource,,Missing required args: ['human_resource_name']
quality,groups,activity_instance_count_by_role,,Missing required args: ['role_name']
quality,groups,automated_activity_count,3,Success
quality,groups,automated_activity_instance_count,29,Success
quality,groups,case_and_client_count_ratio,,Column 'client' is not present in event log.
quality,groups,case_count_where_activity_after_time_frame,0,Success
quality,groups,case_count_where_activity_before_time_frame,2,Success
quality,groups,case_count_where_activity_during_time_frame,1,Success
quality,groups,case_count_where_end_activity_is_a,0,Success
quality,groups,case_count_where_start_activity_is_a,0,Success
quality,groups,case_count_with_rework,3,Success
quality,groups,case_percentage_where_activity_after_time_frame,0.0,Success
quality,groups,case_percentage_where_activity_before_time_frame,0.667,Success
quality,groups,case_percentage_where_activity_during_time_frame,0.333,Success
quality,groups,case_percentage_where_end_activity_is_a,0.0,Success
quality,groups,case_percentage_where_start_activity_is_a,0.0,Success
quality,groups,case_percentage_with_missed_deadline,1,Success
quality,groups,case_percentage_with_rework,1.0,Success
quality,groups,client_count_and_total_cost_ratio,,Column 'client' is not present in event log.
quality,groups,desired_activity_count,3,Success
quality,groups,expected_activity_instance_count_by_human_resource,,Missing required args: ['human_resource_name']
quality,groups,expected_activity_instance_count_by_role,,Missing required args: ['role_name']
quality,groups,expected_automated_activity_count,2.667,Success
quality,groups,expected_automated_activity_instance_count,9.667,Success
quality,groups,expected_client_count_and_total_cost_ratio,,Column 'client' is not present in event log.
quality,groups,expected_desired_activity_count,0.071,Success
quality,groups,expected_human_resource_count,,Column 'human_resource' is not present in event log.
quality,groups,expected_non_automated_activity_count,0.393,Success
quality,groups,expected_non_automated_activity_instance_count,27.667,Success
quality,groups,expected_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,groups,expected_overall_quality,,Column 'quality' is not present in event log.
quality,groups,expected_repeatability,0.536,Success
quality,groups,expected_rework_count,20.0,Success
quality,groups,expected_rework_count_by_value,20.0,Success
quality,groups,expected_rework_of_activities_subset,7.0,Success
quality,groups,expected_rework_percentage,0.536,Success
quality,groups,expected_rework_percentage_by_value,0.536,Success
quality,groups,expected_rework_time,9 days 22:50:06.124000,Success
quality,groups,expected_successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,groups,expected_successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
quality,groups,expected_total_cost_and_client_count_ratio,,Column 'client' is not present in event log.
quality,groups,expected_unwanted_activity_count,8,Success
quality,groups,expected_unwanted_activity_instance_count,9.667,Success
quality,groups,expected_unwanted_activity_instance_percentage,0.26,Success
quality,groups,expected_unwanted_activity_percentage,0.153,Success
quality,groups,human_resource_count,,Column 'human_resource' is not present in event log.
quality,groups,non_automated_activity_count,18,Success
quality,groups,non_automated_activity_instance_count,83,Success
quality,groups,outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,groups,repeatability,0.536,Success
quality,groups,rework_count,60,Success
quality,groups,rework_count_by_value,60,Success
quality,groups,rework_of_activities_subset,21,Success
quality,groups,rework_percentage,0.536,Success
quality,groups,rework_percentage_by_value,0.536,Success
quality,groups,rework_time,29 days 20:30:18.372000,Success
quality,groups,successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,groups,successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
quality,groups,total_cost_and_client_count_ratio,,Column 'client' is not present in event log.
quality,groups,unwanted_activity_count,3,Success
quality,groups,unwanted_activity_instance_count,29,Success
quality,groups,unwanted_activity_instance_percentage,0.259,Success
quality,groups,unwanted_activity_percentage,0.058,Success
quality,instances,outcome_unit_count_for_single_events_of_activity_instances,,Column 'outcome_unit' is not present in event log.
quality,instances,outcome_unit_count_for_sum_of_all_events_of_activity_instances,,Column 'outcome_unit' is not present in event log.
quality,instances,successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,instances,successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
time,activities,lead_time,0 days 00:00:00.520000,Success
time,activities,service_and_lead_time_ratio,0.0,Success
time,activities,service_time,0 days 00:00:00,Success
time,activities,waiting_time,0 days 00:00:00.520000,Success
time,cases,active_time,,"Error performing indicator division. Numerator value=0 days 00:00:00.006000, denominator value=0"
time,cases,activity_count,19,Success
time,cases,activity_instance_count,41,Success
time,cases,automated_activity_count,3,Success
time,cases,automated_activity_instance_count,10,Success
time,cases,automated_activity_service_time,0 days 00:00:00,Success
time,cases,handover_count,,Column 'human_resource' is not present in event log.
time,cases,idle_time,,"Error performing indicator division. Numerator value=0 days 00:00:00.006000, denominator value=0"
time,cases,lead_time,8 days 17:26:43.241000,Success
time,cases,lead_time_deviation_from_deadline,2016-10-15T16:11:26.833750+00:00,Success
time,cases,lead_time_deviation_from_expectation,4 days 22:21:02.222350,Success
time,cases,lead_time_from_activity_a,8 days 17:26:19.447000,Success
time,cases,lead_time_from_activity_a_to_b,,Success
time,cases,lead_time_to_activity_a,0 days 00:00:23.794000,Success
time,cases,service_and_lead_time_ratio,0.0,Success
time,cases,service_time,0 days 00:00:00,Success
time,cases,service_time_from_activity_a_to_b,,Success
time,cases,waiting_time,8 days 17:26:43.241000,Success
time,cases,waiting_time_from_activity_a_to_b,,Success
time,groups,activity_count,21,Success
time,groups,activity_instance_count,112,Success
time,groups,automated_activity_count,3,Success
time,groups,automated_activity_instance_count,29,Success
time,groups,automated_activity_service_time,0 days 00:00:00,Success
time,groups,case_count_lead_time_ratio,0.0,Success
time,groups,case_count_where_lead_time_over_value,3,Success
time,groups,case_percentage_where_lead_time_over_value,1.0,Success
time,groups,case_percentage_with_missed_deadline,0.333,Success
time,groups,expected_active_time,,"Error performing indicator division. Numerator value=0 days 00:00:00.006000, denominator value=0"
time,groups,expected_activity_count,17.333,Success
time,groups,expected_activity_instance_count,37.333,Success
time,groups,expected_automated_activity_count,2.667,Success
time,groups,expected_automated_activity_instance_count,9.667,Success
time,groups,expected_automated_activity_service_time,0 days 00:00:00,Success
time,groups,expected_handover_count,,Column 'human_resource' is not present in event log.
time,groups,expected_idle_time,,"Error performing indicator division. Numerator value=0 days 00:00:00.006000, denominator value=0"
time,groups,expected_lead_time,10 days 07:02:26.039999999,Success
time,groups,expected_lead_time_deviation_from_deadline,,unsupported operand type(s) for /: 'Timestamp' and 'Timedelta'
time,groups,expected_lead_time_deviation_from_expectation,6 days 11:56:45,Success
time,groups,expected_lead_time_from_activity_a,10 days 06:48:00.047666666,Success
time,groups,expected_lead_time_from_activity_a_to_b,,"Error performing indicator division. Numerator value=0 days 00:00:00, denominator value=0"
time,groups,expected_lead_time_to_activity_a,0 days 00:14:25.971666666,Success
time,groups,expected_service_and_lead_time_ratio,0.0,Success
time,groups,expected_service_time,0 days 00:00:00,Success
time,groups,expected_service_time_from_activity_a_to_b,,"Error performing indicator division. Numerator value=0 days 00:00:00, denominator value=0"
time,groups,expected_waiting_time,10 days 07:02:26.019333333,Success
time,groups,expected_waiting_time_from_activity_a_to_b,,"Error performing indicator division. Numerator value=0 days 00:00:00, denominator value=0"
time,groups,lead_time,251 days 22:48:45.388000,Success
time,groups,lead_time_and_case_count_ratio,83 days 23:36:14.400000,Success
time,groups,service_and_lead_time_ratio,0.0,Success
time,groups,service_time,0 days 00:00:00,Success
time,groups,service_time_from_activity_a_to_b,0 days 00:00:00,Success
time,instances,lead_time,0 days 18:18:50.683000,Success
time,instances,service_and_lead_time_ratio,0.0,Success
time,instances,service_time,0 days 00:00:00,Success
time,instances,waiting_time,0 days 18:18:50.683000,Success
